id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1039130,Double room + balcony in Neukölln,5721031,Paulo,Neukölln,Rixdorf,52.48481,13.44985,Private room,35,2,18,2018-09-30,0.70,1,11
1039472,QUIET FURNISHED 2 Room Oldtown APARTMENT 45sqm,5723192,Solange,Pankow,Prenzlauer Berg Nordwest,52.54605,13.40946,Private room,40,4,1,2016-07-06,0.03,1,0
1042779,*Charming flat in Kreuzberg*,4289187,Ka,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49046,13.42118,Entire home/apt,57,6,7,2016-03-30,0.10,2,255
1043485,Sunny one bedroom apartment Berlin,5745773,Marcelo,Lichtenberg,Neu Lichtenberg,52.50538,13.49805,Entire home/apt,65,4,30,2019-04-14,0.42,1,255
1045144,Schöner Wohnen in Berlin,5753199,Diana,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.52089,13.44826,Entire home/apt,95,4,0,,,1,0
1052235,Cosy Room in Quiet Neighborhood,5780938,Cordula,Marzahn - Hellersdorf,Mahlsdorf,52.52708,13.63235,Private room,40,2,14,2019-02-07,0.59,1,137
1052791,Living in the middle of Kreuzberg,426571,Matthias,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49103,13.41444,Entire home/apt,165,2,31,2019-04-15,0.42,1,0
1052941,Ferienwohnung Köpenick-Müggelspree,5797841,Barbara,Treptow - Köpenick,Friedrichshagen,52.44607,13.6167,Entire home/apt,54,3,86,2019-04-17,1.48,1,275
1054546,Berlin Mitte.Close to Wall Memorial,3374817,Adriana,Mitte,Brunnenstr. Süd,52.53062,13.39066,Entire home/apt,65,2,254,2019-05-07,3.48,1,83
1061010,Schick - Berlin City-West (großzügige Teilnutzung),3885112,Stefan,Charlottenburg-Wilm.,Kantstraße,52.50641,13.31972,Private room,69,3,5,2018-08-11,0.14,1,0
1065921,Sunny flat in the lovely Kreuzkölln,5863778,Anastasia,Neukölln,Reuterstraße,52.48523,13.42834,Entire home/apt,50,7,39,2019-03-24,0.53,1,9
1068023,Beautiful room with great view in perfect location,5876541,Reinhard,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49265,13.43842,Private room,34,1,146,2019-04-29,1.98,1,317
1069492,Stunning townhouse in Berlin-Mitte!,518625,Mala,Mitte,Alexanderplatz,52.52932,13.40712,Entire home/apt,200,3,9,2019-04-19,0.15,1,11
1070556,25 qm room in Spacious Appartment,5914410,Agneya Klemens,Tempelhof - Schöneberg,Friedenau,52.47281,13.3407,Private room,55,5,4,2018-09-29,0.18,2,276
1070891,LOVELY APT IN  THE HEART  OF  CITY CENTER - MI TTE,295111,Ron,Mitte,Brunnenstr. Süd,52.53602,13.40503,Entire home/apt,120,3,213,2019-04-28,2.90,2,65
1073324,Lovely room in the heart of Berlin,4842737,Ofri,Mitte,Alexanderplatz,52.52786,13.39318,Private room,25,2,9,2018-04-27,0.37,1,0
1076812,COZY FLAT IN BERLIN/MITTE/PBERG,1623647,Alexs,Pankow,Prenzlauer Berg Süd,52.534,13.42352,Entire home/apt,55,2,13,2014-07-26,0.18,2,0
1079551,Apartment to Go - Berlin Pankow,5937787,Karsten,Pankow,Pankow Süd,52.57364,13.42437,Entire home/apt,23,180,3,2013-06-14,0.04,1,164
1081793,Apartment for holiday or business!,3025096,Elisabeth,Mitte,Alexanderplatz,52.52912,13.40739,Entire home/apt,98,3,300,2018-10-28,4.10,3,133
1082056,"Beautiful , spacious rooftop in Berlin",1500109,Melanie,Pankow,Prenzlauer Berg Süd,52.53544,13.4304,Entire home/apt,115,28,5,2018-05-26,0.14,1,194
1084183,"the heart of West Berlin,KADEWE,Zoo",1152490,Hans Caesar,Tempelhof - Schöneberg,Schöneberg-Nord,52.49888,13.34093,Private room,40,1,31,2018-03-12,0.60,1,0
1084480,The Tiergarten to stay for holiday,5646318,Heidrun,Mitte,Moabit Ost,52.51994,13.34301,Private room,44,2,236,2019-02-28,3.21,1,252
1084512,Charming Studio Sprengelkiez Berlin,7150491,Karl Uwe,Mitte,Wedding Zentrum,52.54031,13.35051,Entire home/apt,29,5,42,2019-04-09,0.57,1,182
1086003,BELLA VISTA in Berlin-Schöneberg,5969573,Winfried,Tempelhof - Schöneberg,Schöneberg-Süd,52.48007,13.34186,Entire home/apt,68,1,69,2019-05-10,0.94,1,84
1086561,"Bright, cosy w/ balcony F'Schain,  2min metro!",3398820,Yin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51205,13.4723,Entire home/apt,75,2,43,2019-05-06,0.58,1,0
1088792,Central EastWestern - Big room for two,5982824,Claudia,Charlottenburg-Wilm.,Mierendorffplatz,52.52511,13.3132,Private room,30,27,18,2018-06-02,0.46,3,225
1088794,Central West-Eastern room for two,5982824,Claudia,Charlottenburg-Wilm.,Mierendorffplatz,52.52602,13.31323,Private room,25,5,32,2019-02-20,0.46,3,203
1089262,DESIGN APARTMENT IN CENTRAL BERLIN,5984970,Manuel,Mitte,Alexanderplatz,52.52229,13.38739,Private room,49,4,14,2016-04-17,0.20,1,102
1089612,Hausboot zentral und idyllisch gelegen mit Wlan,5986722,Dorit,Charlottenburg-Wilm.,Heerstrasse,52.50742,13.21445,Entire home/apt,200,2,48,2019-05-12,0.69,3,264
1095720,Gartentraum am Mauerpark,6019354,Katja,Pankow,Prenzlauer Berg Nordwest,52.5489,13.40622,Entire home/apt,70,10,6,2016-08-16,0.08,1,137
1099035,"Haus am Mauerstreifen, Border settl",6038449,Jan,Steglitz - Zehlendorf,Teltower Damm,52.42129,13.22805,Entire home/apt,78,1,16,2018-10-07,0.23,1,176
1101970,Weser str. Beautiful One bedroom apartment!,6053172,Noa,Neukölln,Reuterstraße,52.48529,13.4365,Entire home/apt,80,1,62,2019-04-29,0.86,1,237
1102875,3 room flat Berlin Friedrichshain ,6057350,Claudia,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50803,13.46843,Entire home/apt,102,5,143,2019-05-01,1.96,1,270
